time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-04T20:52:18.490Z,3.1492,127.0487,43.2,4.9,mb,,121,2.382,1.21,us,us1000g3m5,2018-08-04T21:22:42.040Z,"190km NW of Tobelo, Indonesia",earthquake,9.1,9.7,0.082,47,reviewed,us,us
2018-08-04T20:34:10.316Z,40.4139,-116.4494,9.1,2.7,ml,17,59.7,0.527,0.123,nn,nn00648561,2018-08-05T05:24:27.040Z,"44km SW of Carlin, Nevada",earthquake,,4.3,0.24,10,reviewed,nn,nn
2018-08-04T20:18:36.900Z,13.2161,-90.9222,36.18,4.5,mb,,160,1.501,0.74,us,us1000g3ln,2018-08-05T05:18:04.040Z,"79km S of Puerto San Jose, Guatemala",earthquake,6.4,7.9,0.059,83,reviewed,us,us
2018-08-04T19:53:20.490Z,18.4576,-67.768,90,2.98,md,5,323,0.6569,0.17,pr,pr2018216016,2018-08-05T00:27:29.040Z,"58km W of Rincon, Puerto Rico",earthquake,3.9,2.68,0.16,4,reviewed,pr,pr
2018-08-04T18:41:49.770Z,18.4786,-64.1893,109,3.68,md,4,347,1.6933,0.08,pr,pr2018216015,2018-08-04T23:31:05.911Z,"45km E of Road Town, British Virgin Islands",earthquake,2.88,5.19,0.04,3,reviewed,pr,pr
2018-08-04T18:39:41.560Z,18.2928,-64.3018,104,3.19,md,5,348,1.5544,0.28,pr,pr2018216014,2018-08-04T23:30:09.928Z,"35km ESE of Road Town, British Virgin Islands",earthquake,6.84,8.98,0.43,3,reviewed,pr,pr
2018-08-04T17:37:15.260Z,19.3898335,-155.2676697,0.71,2.66,ml,14,134,0.007881,0.16,hv,hv70521772,2018-08-04T17:42:55.980Z,"5km SW of Volcano, Hawaii",earthquake,0.31,0.26,2,25,automatic,hv,hv
2018-08-04T17:34:23.930Z,19.3981667,-155.2786713,0.4,2.67,ml,32,38,0.005503,0.26,hv,hv70521762,2018-08-04T17:40:03.390Z,"5km SW of Volcano, Hawaii",earthquake,0.27,0.22,0.41,20,automatic,hv,hv
2018-08-04T17:28:33.040Z,19.4078331,-155.2418365,0.94,2.85,ml,9,233,0.01755,0.19,hv,hv70521747,2018-08-04T17:34:18.700Z,"2km S of Volcano, Hawaii",earthquake,1.61,0.48,0.62,21,automatic,hv,hv
2018-08-04T17:28:29.740Z,19.3980007,-155.2858276,1.21,2.87,ml,16,80,0.01108,0.21,hv,hv70521742,2018-08-04T17:34:10.610Z,"6km SW of Volcano, Hawaii",earthquake,0.32,0.29,0.58,21,automatic,hv,hv
2018-08-04T17:24:31.580Z,19.4141674,-155.2630005,0.08,2.68,ml,35,47,0.003602,0.24,hv,hv70521732,2018-08-04T17:30:10.300Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.13,0.43,22,automatic,hv,hv
2018-08-04T17:20:16.220Z,19.3956661,-155.2873383,0.21,2.8,ml,26,49,0.008439,0.19,hv,hv70521712,2018-08-04T17:25:55.830Z,"6km SW of Volcano, Hawaii",earthquake,0.17,0.2,0.36,25,automatic,hv,hv
2018-08-04T17:20:02.880Z,19.3953342,-155.2653351,0.44,2.56,ml,15,96,0.002966,0.2,hv,hv70521707,2018-08-04T17:25:43.020Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.21,0.46,25,automatic,hv,hv
2018-08-04T17:08:41.800Z,19.3983326,-155.269165,-0.03,2.66,ml,42,44,0.002959,0.25,hv,hv70521677,2018-08-04T17:14:22.420Z,"4km SW of Volcano, Hawaii",earthquake,0.27,0.13,1.99,25,automatic,hv,hv
2018-08-04T17:05:50.070Z,19.4125004,-155.2565002,1.67,2.54,ml,26,111,0.003214,0.33,hv,hv70521672,2018-08-04T17:11:31.620Z,"2km SW of Volcano, Hawaii",earthquake,0.5,0.36,2.04,16,automatic,hv,hv
2018-08-04T17:03:16.840Z,19.4008331,-155.2680054,1.11,2.9,ml,17,68,0.01357,0.08,hv,hv70521662,2018-08-04T17:08:56.990Z,"4km SW of Volcano, Hawaii",earthquake,0.3,0.43,0.5,20,automatic,hv,hv
2018-08-04T16:41:12.150Z,19.3934994,-155.2898407,-0.05,2.56,ml,27,51,0.005242,0.24,hv,hv70521582,2018-08-04T16:46:54.430Z,"6km SW of Volcano, Hawaii",earthquake,0.18,0.22,0.39,20,automatic,hv,hv
2018-08-04T16:35:45.330Z,19.4109993,-155.2621613,-0.06,2.55,ml,14,117,0.002412,0.25,hv,hv70521562,2018-08-04T16:41:33.210Z,"3km SW of Volcano, Hawaii",earthquake,0.56,0.36,0.36,15,automatic,hv,hv
2018-08-04T16:31:28.730Z,19.3806667,-155.2488403,-0.17,2.91,ml,44,47,0.005352,0.27,hv,hv70521547,2018-08-04T16:37:07.890Z,"5km SSW of Volcano, Hawaii",earthquake,0.32,0.21,2.84,32,automatic,hv,hv
2018-08-04T16:21:55.570Z,18.62,-64.5413,81,3.33,md,11,340,1.3921,0.33,pr,pr2018216012,2018-08-04T23:28:23.528Z,"23km NNE of Road Town, British Virgin Islands",earthquake,3.73,5.64,0.23,8,reviewed,pr,pr
2018-08-04T16:20:54.340Z,19.3666668,-155.2591705,0.14,3.31,ml,32,55,0.006338,0.24,hv,hv70521527,2018-08-04T16:26:34.330Z,"7km SSW of Volcano, Hawaii",earthquake,0.22,0.19,0.3,16,automatic,hv,hv
2018-08-04T16:19:14.650Z,19.369833,-155.2571716,-0.31,3.4,ml,50,53,0.006184,0.22,hv,hv70521522,2018-08-04T16:24:53.200Z,"7km SSW of Volcano, Hawaii",earthquake,0.2,0.19,3.22,39,automatic,hv,hv
